Number of Pulses: 50
Initial Voltage Duration (ms): 1000
Initial Voltage (V):-2.000000E+0
Read Voltage (V):50.000000E-3
ON Voltage (V):2.000000E+0
tON (ms):1
OFF Voltage (V):0.000000E+0
tOFF (ms):100
tWait (ms):100
Temperature (K): 449.100000E+0
Time stamp (s), Voltage (V), Current (A), Voltage (V), Current (A),Resistance (Ohm)
2.3909997940063E+0,-2.000000E+0,-001.413E-03,,,1.415428E+3
2.4070000648499E+0,0.000000E+0,-000.001E-03,,,0.000000E+0
5.0939998626709E+0,5.000000E-2,2.437500E-8,-5.000000E-2,-2.107300E-8,2.200317E+6
5.5939998626709E+0,2.000000E+0,+001.817E-03,,,1.100715E+3
5.6100001335144E+0,0.000000E+0,-000.001E-03,,,0.000000E+0
8.2969999313354E+0,5.000000E-2,2.437500E-8,-5.000000E-2,-2.107300E-8,2.040192E+6
8.7969999313354E+0,2.000000E+0,+001.836E-03,,,1.089325E+3
8.8129997253418E+0,0.000000E+0,-000.001E-03,,,0.000000E+0
1.1515999794006E+1,5.000000E-2,2.613900E-8,-5.000000E-2,-2.287600E-8,2.014789E+6
1.2015999794006E+1,2.000000E+0,+001.849E-03,,,1.081666E+3
1.2015999794006E+1,0.000000E+0,-000.001E-03,,,0.000000E+0
1.4718999862671E+1,5.000000E-2,2.628200E-8,-5.000000E-2,-2.335100E-8,1.980237E+6
1.5218999862671E+1,2.000000E+0,+001.862E-03,,,1.074114E+3
1.5235000133514E+1,0.000000E+0,-000.001E-03,,,0.000000E+0
1.7921999931335E+1,5.000000E-2,2.687500E-8,-5.000000E-2,-2.362400E-8,1.992230E+6
1.8421999931335E+1,2.000000E+0,+001.868E-03,,,1.070664E+3
1.8437999725342E+1,0.000000E+0,-000.001E-03,,,0.000000E+0
2.1125000000000E+1,5.000000E-2,2.676000E-8,-5.000000E-2,-2.343500E-8,1.991080E+6
2.1625000000000E+1,2.000000E+0,+001.875E-03,,,1.066667E+3
2.1640999794006E+1,0.000000E+0,-000.001E-03,,,0.000000E+0
2.4328999996185E+1,5.000000E-2,2.683800E-8,-5.000000E-2,-2.338600E-8,1.966104E+6
2.4828999996185E+1,2.000000E+0,+001.875E-03,,,1.066667E+3
2.4843999862671E+1,0.000000E+0,-000.001E-03,,,0.000000E+0
2.7532000064850E+1,5.000000E-2,2.727400E-8,-5.000000E-2,-2.358800E-8,1.965988E+6
2.8032000064850E+1,2.000000E+0,+001.875E-03,,,1.066667E+3
2.8046999931335E+1,0.000000E+0,-000.001E-03,,,0.000000E+0
3.0735000133514E+1,5.000000E-2,2.721600E-8,-5.000000E-2,-2.364900E-8,1.986452E+6
3.1235000133514E+1,2.000000E+0,+001.881E-03,,,1.063264E+3
3.1250000000000E+1,0.000000E+0,-000.001E-03,,,0.000000E+0
3.3937999725342E+1,5.000000E-2,2.704600E-8,-5.000000E-2,-2.329500E-8,1.983379E+6
3.4437999725342E+1,2.000000E+0,+001.888E-03,,,1.059322E+3
3.4453999996185E+1,0.000000E+0,-000.001E-03,,,0.000000E+0
